"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","17","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 10 22:43:50 IST 2023","Fri Nov 10 22:44:18 IST 2023","28776","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","70","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","15","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:16:21 IST 2023","Sat Nov 04 16:16:21 IST 2023","224","Default suite","Default test","com.bellatrix.runnerclass.RunnerLoginPage","com.bellatrix.runnerclass.RunnerLoginPage","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 03 16:40:23 IST 2023","Fri Nov 03 16:41:01 IST 2023","37726","Default suite","Default test","com.bellatrix.runnerclass.RunnerHomePage","com.bellatrix.runnerclass.RunnerHomePage","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Nov 03 19:28:17 IST 2023","Fri Nov 03 19:28:26 IST 2023","9432","Default suite","Default test","com.api.runner.RunnerApi","com.api.runner.RunnerApi","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 06:53:38 IST 2023","Mon Oct 30 06:53:51 IST 2023","12860","Default suite","Default test","runnerclass.RunnerClassForBellatrix","runnerclass.RunnerClassForBellatrix","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:12 IST 2023","Sat Nov 04 16:53:12 IST 2023","39","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:11 IST 2023","Sat Nov 04 16:53:12 IST 2023","307","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:12 IST 2023","Sat Nov 04 16:53:12 IST 2023","16","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 06:55:06 IST 2023","Mon Oct 30 06:55:23 IST 2023","17598","Default suite","Default test","runnerclass.RunnerClassForBellatrix","runnerclass.RunnerClassForBellatrix","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 03 14:06:09 IST 2023","Fri Nov 03 14:07:05 IST 2023","55958","Default suite","Default test","com.bellatrix.runnerclass.RunnerLoginPage","com.bellatrix.runnerclass.RunnerLoginPage","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","27","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","12","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Fri Nov 10 22:28:42 IST 2023","Fri Nov 10 22:29:11 IST 2023","29079","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 10 22:44:19 IST 2023","Fri Nov 10 22:44:40 IST 2023","20883","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 10 22:27:30 IST 2023","Fri Nov 10 22:27:40 IST 2023","10444","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:13 IST 2023","Sat Nov 04 16:53:14 IST 2023","17","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:13 IST 2023","Sat Nov 04 16:53:13 IST 2023","23","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Nov 10 22:24:36 IST 2023","Fri Nov 10 22:25:03 IST 2023","27288","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"broken","Mon Oct 30 13:19:18 IST 2023","Mon Oct 30 13:19:18 IST 2023","29","Default suite","Default test","com.bellatrix.runnerclass.RunnerHomePage","com.bellatrix.runnerclass.RunnerHomePage","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:13 IST 2023","Sat Nov 04 16:53:13 IST 2023","85","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Nov 03 13:36:49 IST 2023","Fri Nov 03 13:36:49 IST 2023","7","Default suite","Default test","com.bellatrix.runnerclass.RunnerLoginPage","com.bellatrix.runnerclass.RunnerLoginPage","setUpClass","setUpClass",""
"broken","Mon Oct 30 11:51:11 IST 2023","Mon Oct 30 11:51:11 IST 2023","27","Default suite","Default test","com.bellatrix.runnerclass.RunnerCartPage$RunnerHomePage","com.bellatrix.runnerclass.RunnerCartPage$RunnerHomePage","runScenario","Runs Cucumber Scenarios",""
"passed","Fri Nov 10 22:25:29 IST 2023","Fri Nov 10 22:25:43 IST 2023","14089","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"broken","Fri Nov 10 22:25:04 IST 2023","Fri Nov 10 22:25:29 IST 2023","25639","Default suite","Default test","runner.FeatureRunnerClass","runner.FeatureRunnerClass","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","26","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:13 IST 2023","Sat Nov 04 16:53:13 IST 2023","16","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:13 IST 2023","Sat Nov 04 16:53:13 IST 2023","15","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:14 IST 2023","Sat Nov 04 16:53:14 IST 2023","21","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Mon Oct 30 14:26:27 IST 2023","Mon Oct 30 14:27:46 IST 2023","78924","Default suite","Default test","com.bellatrix.runnerclass.RunnerCartPage","com.bellatrix.runnerclass.RunnerCartPage","runScenario","Runs Cucumber Scenarios",""
"broken","Sat Nov 04 16:53:13 IST 2023","Sat Nov 04 16:53:13 IST 2023","20","Default suite","Default test","com.bellatrix.runnerclass.AllmethodRunner","com.bellatrix.runnerclass.AllmethodRunner","runScenario","Runs Cucumber Scenarios",""
